,Subzone,School,College,Medical,Recreation,Transport,Shop,Food,lscore,Density
287,KENT RIDGE,0.25,0.5121951219512195,0.8425925925925926,0.11570247933884298,0.2222222222222222,0.1326530612244898,0.31451612903225806,43.55509468928877,43.49842238381472
288,TUAS PROMENADE,0.0,0.0,0.0,0.04132231404958678,0.0457516339869281,0.01020408163265306,0.016129032258064516,2.0668200916423265,3.115728856290124
289,REDHILL,0.5208333333333334,0.4634146341463415,0.1574074074074074,0.2892561983471074,0.2875816993464052,0.19387755102040816,0.25,39.40875804248766,27228.12511398478
290,KAMPONG GLAM,0.625,0.6219512195121951,0.5648148148148148,0.4380165289256198,0.8104575163398693,0.8112244897959183,0.842741935483871,85.9154320272652,695.7010891568564
291,TIONG BAHRU,0.5,0.5853658536585366,0.3148148148148148,0.32231404958677684,0.42483660130718953,0.4387755102040816,0.5201612903225806,56.61108974275662,28571.76476521752
292,SEMBAWANG CENTRAL,0.2708333333333333,0.23170731707317074,0.12037037037037036,0.2231404958677686,0.23529411764705882,0.3010204081632653,0.1975806451612903,28.794199428112393,35916.448892025524
293,GREENWOOD PARK,0.375,0.21951219512195122,0.23148148148148148,0.4214876033057851,0.32679738562091504,0.22959183673469388,0.2056451612903226,36.62300457594705,31.00967887615924
294,LOWER SELETAR,0.041666666666666664,0.0,0.018518518518518517,0.08264462809917356,0.0196078431372549,0.02040816326530612,0.04032258064516129,4.067197631149136,2192.659359567586
295,LORONG AH SOO,0.4791666666666667,0.32926829268292684,0.25,0.33884297520661155,0.26143790849673204,0.3469387755102041,0.31048387096774194,42.21114173877586,21183.23512998897
296,RIDOUT,0.14583333333333334,0.0975609756097561,0.009259259259259259,0.23140495867768596,0.1111111111111111,0.11734693877551021,0.23387096774193547,17.247715955514987,773.534363893719
